date,rank,song,artist,last-week,peak-rank,weeks-on-board
31/12/1977,1,How Deep Is Your Love,Bee Gees,,1,15
07/01/1978,1,How Deep Is Your Love,Bee Gees,1,1,16
14/01/1978,1,Baby Come Back,Player,2,1,16
21/01/1978,1,Baby Come Back,Player,1,1,17
28/01/1978,1,Baby Come Back,Player,1,1,18
04/02/1978,1,Stayin' Alive,Bee Gees,3,1,9
11/02/1978,1,Stayin' Alive,Bee Gees,1,1,10
18/02/1978,1,Stayin' Alive,Bee Gees,1,1,11
25/02/1978,1,Stayin' Alive,Bee Gees,1,1,12
04/03/1978,1,(Love Is) Thicker Than Water,Andy Gibb,2,1,18
11/03/1978,1,(Love Is) Thicker Than Water,Andy Gibb,1,1,19
18/03/1978,1,Night Fever,Bee Gees,2,1,7
25/03/1978,1,Night Fever,Bee Gees,1,1,8
01/04/1978,1,Night Fever,Bee Gees,1,1,9
08/04/1978,1,Night Fever,Bee Gees,1,1,10
15/04/1978,1,Night Fever,Bee Gees,1,1,11
22/04/1978,1,Night Fever,Bee Gees,1,1,12
29/04/1978,1,Night Fever,Bee Gees,1,1,13
06/05/1978,1,Night Fever,Bee Gees,1,1,14
13/05/1978,1,If I Can't Have You,Yvonne Elliman,2,1,16
20/05/1978,1,With A Little Luck,Wings,3,1,9
27/05/1978,1,With A Little Luck,Wings,1,1,10
03/06/1978,1,"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams,2,1,10
10/06/1978,1,You're The One That I Want,John Travolta & Olivia Newton-John,2,1,11
17/06/1978,1,Shadow Dancing,Andy Gibb,2,1,10
24/06/1978,1,Shadow Dancing,Andy Gibb,1,1,11
01/07/1978,1,Shadow Dancing,Andy Gibb,1,1,12
08/07/1978,1,Shadow Dancing,Andy Gibb,1,1,13
15/07/1978,1,Shadow Dancing,Andy Gibb,1,1,14
22/07/1978,1,Shadow Dancing,Andy Gibb,1,1,15
29/07/1978,1,Shadow Dancing,Andy Gibb,1,1,16
05/08/1978,1,Miss You,The Rolling Stones,3,1,11
12/08/1978,1,Three Times A Lady,Commodores,2,1,9
19/08/1978,1,Three Times A Lady,Commodores,1,1,10
26/08/1978,1,Grease,Frankie Valli,2,1,14
02/09/1978,1,Grease,Frankie Valli,1,1,15
09/09/1978,1,Boogie Oogie Oogie,A Taste Of Honey,3,1,12
16/09/1978,1,Boogie Oogie Oogie,A Taste Of Honey,1,1,13
23/09/1978,1,Boogie Oogie Oogie,A Taste Of Honey,1,1,14
30/09/1978,1,Kiss You All Over,Exile,2,1,13
07/10/1978,1,Kiss You All Over,Exile,1,1,14
14/10/1978,1,Kiss You All Over,Exile,1,1,15
21/10/1978,1,Kiss You All Over,Exile,1,1,16
28/10/1978,1,Hot Child In The City,Nick Gilder,2,1,21
04/11/1978,1,You Needed Me,Anne Murray,2,1,17
11/11/1978,1,MacArthur Park,Donna Summer,2,1,10
18/11/1978,1,MacArthur Park,Donna Summer,1,1,11
25/11/1978,1,MacArthur Park,Donna Summer,1,1,12
02/12/1978,1,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,4,1,6
09/12/1978,1,Le Freak,Chic,4,1,7
16/12/1978,1,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,3,1,8
