date,rank,song,artist,last-week,peak-rank,weeks-on-board
27/04/1991,1,Baby Baby,Amy Grant,2,1,10
04/05/1991,1,Baby Baby,Amy Grant,1,1,11
11/05/1991,1,Joyride,Roxette,2,1,11
18/05/1991,1,I Like The Way (The Kissing Game),Hi-Five,3,1,13
25/05/1991,1,I Don't Wanna Cry,Mariah Carey,8,1,8
01/06/1991,1,I Don't Wanna Cry,Mariah Carey,1,1,9
08/06/1991,1,More Than Words,Extreme,2,1,12
15/06/1991,1,Rush Rush,Paula Abdul,3,1,6
22/06/1991,1,Rush Rush,Paula Abdul,1,1,7
29/06/1991,1,Rush Rush,Paula Abdul,1,1,8
06/07/1991,1,Rush Rush,Paula Abdul,1,1,9
13/07/1991,1,Rush Rush,Paula Abdul,1,1,10
20/07/1991,1,Unbelievable,EMF,2,1,15
27/07/1991,1,(Everything I Do) I Do It For You,Bryan Adams,4,1,5
03/08/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1,1,6
10/08/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1,1,7
17/08/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1,1,8
24/08/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1,1,9
31/08/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1,1,10
07/09/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1,1,11
14/09/1991,1,The Promise Of A New Day,Paula Abdul,2,1,9
21/09/1991,1,I Adore Mi Amor,Color Me Badd,2,1,9
28/09/1991,1,I Adore Mi Amor,Color Me Badd,1,1,10
05/10/1991,1,Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,2,1,12
12/10/1991,1,Emotions,Mariah Carey,3,1,7
19/10/1991,1,Emotions,Mariah Carey,1,1,8
26/10/1991,1,Emotions,Mariah Carey,1,1,9
02/11/1991,1,Romantic,Karyn White,3,1,12
09/11/1991,1,Cream,Prince And The N.P.G.,3,1,7
16/11/1991,1,Cream,Prince And The N.P.G.,1,1,8
23/11/1991,1,When A Man Loves A Woman,Michael Bolton,3,1,7
30/11/1991,1,Set Adrift On Memory Bliss,P.M. Dawn,3,1,7
07/12/1991,1,Black Or White,Michael Jackson,3,1,3
14/12/1991,1,Black Or White,Michael Jackson,1,1,4
21/12/1991,1,Black Or White,Michael Jackson,1,1,5
28/12/1991,1,Black Or White,Michael Jackson,,1,6
04/01/1992,1,Black Or White,Michael Jackson,1,1,7
11/01/1992,1,Black Or White,Michael Jackson,1,1,8
18/01/1992,1,Black Or White,Michael Jackson,1,1,9
25/01/1992,1,All 4 Love,Color Me Badd,2,1,12
01/02/1992,1,Don't Let The Sun Go Down On Me,George Michael/Elton John,3,1,9
08/02/1992,1,I'm Too Sexy,Right Said Fred,6,1,8
15/02/1992,1,I'm Too Sexy,Right Said Fred,1,1,9
22/02/1992,1,I'm Too Sexy,Right Said Fred,1,1,10
29/02/1992,1,To Be With You,Mr. Big,2,1,11
07/03/1992,1,To Be With You,Mr. Big,1,1,12
14/03/1992,1,To Be With You,Mr. Big,1,1,13
21/03/1992,1,Save The Best For Last,Vanessa Williams,4,1,8
28/03/1992,1,Save The Best For Last,Vanessa Williams,1,1,9
04/04/1992,1,Save The Best For Last,Vanessa Williams,1,1,10
11/04/1992,1,Save The Best For Last,Vanessa Williams,1,1,11
18/04/1992,1,Save The Best For Last,Vanessa Williams,1,1,12
25/04/1992,1,Jump,Kris Kross,3,1,4
02/05/1992,1,Jump,Kris Kross,1,1,5
09/05/1992,1,Jump,Kris Kross,1,1,6
16/05/1992,1,Jump,Kris Kross,1,1,7
23/05/1992,1,Jump,Kris Kross,1,1,8
30/05/1992,1,Jump,Kris Kross,1,1,9
06/06/1992,1,Jump,Kris Kross,1,1,10
13/06/1992,1,Jump,Kris Kross,1,1,11
20/06/1992,1,I'll Be There,Mariah Carey,2,1,4
27/06/1992,1,I'll Be There,Mariah Carey,1,1,5
04/07/1992,1,Baby Got Back,Sir Mix-A-Lot,2,1,13
11/07/1992,1,Baby Got Back,Sir Mix-A-Lot,1,1,14
18/07/1992,1,Baby Got Back,Sir Mix-A-Lot,1,1,15
25/07/1992,1,Baby Got Back,Sir Mix-A-Lot,1,1,16
01/08/1992,1,Baby Got Back,Sir Mix-A-Lot,1,1,17
08/08/1992,1,This Used To Be My Playground,Madonna,2,1,6
15/08/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,4,1,5
22/08/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,6
29/08/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,7
05/09/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,8
12/09/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,9
19/09/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,10
26/09/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,11
03/10/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,12
10/10/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,13
17/10/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,14
24/10/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,15
31/10/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,16
07/11/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,17
14/11/1992,1,How Do You Talk To An Angel,The Heights,2,1,7
21/11/1992,1,How Do You Talk To An Angel,The Heights,1,1,8
28/11/1992,1,I Will Always Love You,Whitney Houston,12,1,3
05/12/1992,1,I Will Always Love You,Whitney Houston,1,1,4
12/12/1992,1,I Will Always Love You,Whitney Houston,1,1,5
19/12/1992,1,I Will Always Love You,Whitney Houston,1,1,6
26/12/1992,1,I Will Always Love You,Whitney Houston,1,1,7
02/01/1993,1,I Will Always Love You,Whitney Houston,1,1,8
09/01/1993,1,I Will Always Love You,Whitney Houston,1,1,9
16/01/1993,1,I Will Always Love You,Whitney Houston,1,1,10
23/01/1993,1,I Will Always Love You,Whitney Houston,1,1,11
30/01/1993,1,I Will Always Love You,Whitney Houston,1,1,12
06/02/1993,1,I Will Always Love You,Whitney Houston,1,1,13
13/02/1993,1,I Will Always Love You,Whitney Houston,1,1,14
20/02/1993,1,I Will Always Love You,Whitney Houston,1,1,15
27/02/1993,1,I Will Always Love You,Whitney Houston,1,1,16
06/03/1993,1,A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,2,1,12
13/03/1993,1,Informer,Snow,4,1,10
20/03/1993,1,Informer,Snow,1,1,11
27/03/1993,1,Informer,Snow,1,1,12
03/04/1993,1,Informer,Snow,1,1,13
10/04/1993,1,Informer,Snow,1,1,14
17/04/1993,1,Informer,Snow,1,1,15
24/04/1993,1,Informer,Snow,1,1,16
01/05/1993,1,Freak Me,Silk,2,1,11
08/05/1993,1,Freak Me,Silk,1,1,12
15/05/1993,1,That's The Way Love Goes,Janet Jackson,2,1,3
22/05/1993,1,That's The Way Love Goes,Janet Jackson,1,1,4
29/05/1993,1,That's The Way Love Goes,Janet Jackson,1,1,5
05/06/1993,1,That's The Way Love Goes,Janet Jackson,1,1,6
12/06/1993,1,That's The Way Love Goes,Janet Jackson,1,1,7
19/06/1993,1,That's The Way Love Goes,Janet Jackson,1,1,8
26/06/1993,1,That's The Way Love Goes,Janet Jackson,1,1,9
03/07/1993,1,That's The Way Love Goes,Janet Jackson,1,1,10
10/07/1993,1,Weak,SWV,2,1,12
17/07/1993,1,Weak,SWV,1,1,13
24/07/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,2,1,11
31/07/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1,1,12
07/08/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1,1,13
14/08/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1,1,14
21/08/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1,1,15
28/08/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1,1,16
04/09/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1,1,17
11/09/1993,1,Dreamlover,Mariah Carey,2,1,6
18/09/1993,1,Dreamlover,Mariah Carey,1,1,7
25/09/1993,1,Dreamlover,Mariah Carey,1,1,8
02/10/1993,1,Dreamlover,Mariah Carey,1,1,9
09/10/1993,1,Dreamlover,Mariah Carey,1,1,10
16/10/1993,1,Dreamlover,Mariah Carey,1,1,11
23/10/1993,1,Dreamlover,Mariah Carey,1,1,12
30/10/1993,1,Dreamlover,Mariah Carey,1,1,13
06/11/1993,1,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,2,1,8
13/11/1993,1,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1,1,9
20/11/1993,1,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1,1,10
27/11/1993,1,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1,1,11
04/12/1993,1,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1,1,12
11/12/1993,1,Again,Janet Jackson,2,1,8
18/12/1993,1,Again,Janet Jackson,1,1,9
25/12/1993,1,Hero,Mariah Carey,3,1,10
01/01/1994,1,Hero,Mariah Carey,1,1,11
08/01/1994,1,Hero,Mariah Carey,1,1,12
15/01/1994,1,Hero,Mariah Carey,1,1,13
22/01/1994,1,All For Love,Bryan Adams/Rod Stewart/Sting,2,1,9
29/01/1994,1,All For Love,Bryan Adams/Rod Stewart/Sting,1,1,10
05/02/1994,1,All For Love,Bryan Adams/Rod Stewart/Sting,1,1,11
12/02/1994,1,The Power Of Love,Celine Dion,3,1,12
19/02/1994,1,The Power Of Love,Celine Dion,1,1,13
26/02/1994,1,The Power Of Love,Celine Dion,1,1,14
05/03/1994,1,The Power Of Love,Celine Dion,1,1,15
12/03/1994,1,The Sign,Ace Of Base,2,1,11
19/03/1994,1,The Sign,Ace Of Base,1,1,12
26/03/1994,1,The Sign,Ace Of Base,1,1,13
02/04/1994,1,The Sign,Ace Of Base,1,1,14
09/04/1994,1,Bump N' Grind,R. Kelly,2,1,10
16/04/1994,1,Bump N' Grind,R. Kelly,1,1,11
23/04/1994,1,Bump N' Grind,R. Kelly,1,1,12
30/04/1994,1,Bump N' Grind,R. Kelly,1,1,13
07/05/1994,1,The Sign,Ace Of Base,2,1,19
14/05/1994,1,The Sign,Ace Of Base,1,1,20
21/05/1994,1,I Swear,All-4-One,8,1,5
28/05/1994,1,I Swear,All-4-One,1,1,6
04/06/1994,1,I Swear,All-4-One,1,1,7
11/06/1994,1,I Swear,All-4-One,1,1,8
18/06/1994,1,I Swear,All-4-One,1,1,9
25/06/1994,1,I Swear,All-4-One,1,1,10
02/07/1994,1,I Swear,All-4-One,1,1,11
09/07/1994,1,I Swear,All-4-One,1,1,12
16/07/1994,1,I Swear,All-4-One,1,1,13
23/07/1994,1,I Swear,All-4-One,1,1,14
30/07/1994,1,I Swear,All-4-One,1,1,15
06/08/1994,1,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,2,1,14
13/08/1994,1,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,1,1,15
20/08/1994,1,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,1,1,16
27/08/1994,1,I'll Make Love To You,Boyz II Men,2,1,3
03/09/1994,1,I'll Make Love To You,Boyz II Men,1,1,4
10/09/1994,1,I'll Make Love To You,Boyz II Men,1,1,5
17/09/1994,1,I'll Make Love To You,Boyz II Men,1,1,6
24/09/1994,1,I'll Make Love To You,Boyz II Men,1,1,7
01/10/1994,1,I'll Make Love To You,Boyz II Men,1,1,8
08/10/1994,1,I'll Make Love To You,Boyz II Men,1,1,9
15/10/1994,1,I'll Make Love To You,Boyz II Men,1,1,10
22/10/1994,1,I'll Make Love To You,Boyz II Men,1,1,11
29/10/1994,1,I'll Make Love To You,Boyz II Men,1,1,12
05/11/1994,1,I'll Make Love To You,Boyz II Men,1,1,13
12/11/1994,1,I'll Make Love To You,Boyz II Men,1,1,14
19/11/1994,1,I'll Make Love To You,Boyz II Men,1,1,15
26/11/1994,1,I'll Make Love To You,Boyz II Men,1,1,16
03/12/1994,1,On Bended Knee,Boyz II Men,3,1,3
10/12/1994,1,On Bended Knee,Boyz II Men,1,1,4
17/12/1994,1,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,2,1,14
24/12/1994,1,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,1,1,15
31/12/1994,1,On Bended Knee,Boyz II Men,2,1,7
07/01/1995,1,On Bended Knee,Boyz II Men,1,1,8
14/01/1995,1,On Bended Knee,Boyz II Men,1,1,9
21/01/1995,1,On Bended Knee,Boyz II Men,1,1,10
28/01/1995,1,Creep,TLC,2,1,12
04/02/1995,1,Creep,TLC,1,1,13
11/02/1995,1,Creep,TLC,1,1,14
18/02/1995,1,Creep,TLC,1,1,15
25/02/1995,1,Take A Bow,Madonna,2,1,11
04/03/1995,1,Take A Bow,Madonna,1,1,12
11/03/1995,1,Take A Bow,Madonna,1,1,13
18/03/1995,1,Take A Bow,Madonna,1,1,14
25/03/1995,1,Take A Bow,Madonna,1,1,15
01/04/1995,1,Take A Bow,Madonna,1,1,16
08/04/1995,1,Take A Bow,Madonna,1,1,17
15/04/1995,1,This Is How We Do It,Montell Jordan,6,1,8
22/04/1995,1,This Is How We Do It,Montell Jordan,1,1,9
29/04/1995,1,This Is How We Do It,Montell Jordan,1,1,10
06/05/1995,1,This Is How We Do It,Montell Jordan,1,1,11
13/05/1995,1,This Is How We Do It,Montell Jordan,1,1,12
20/05/1995,1,This Is How We Do It,Montell Jordan,1,1,13
27/05/1995,1,This Is How We Do It,Montell Jordan,1,1,14
03/06/1995,1,Have You Ever Really Loved A Woman?,Bryan Adams,2,1,8
10/06/1995,1,Have You Ever Really Loved A Woman?,Bryan Adams,1,1,9
17/06/1995,1,Have You Ever Really Loved A Woman?,Bryan Adams,1,1,10
24/06/1995,1,Have You Ever Really Loved A Woman?,Bryan Adams,1,1,11
01/07/1995,1,Have You Ever Really Loved A Woman?,Bryan Adams,1,1,12
08/07/1995,1,Waterfalls,TLC,7,1,5
15/07/1995,1,Waterfalls,TLC,1,1,6
22/07/1995,1,Waterfalls,TLC,1,1,7
29/07/1995,1,Waterfalls,TLC,1,1,8
05/08/1995,1,Waterfalls,TLC,1,1,9
12/08/1995,1,Waterfalls,TLC,1,1,10
19/08/1995,1,Waterfalls,TLC,1,1,11
26/08/1995,1,Kiss From A Rose,Seal,2,1,10
02/09/1995,1,You Are Not Alone,Michael Jackson,,1,1
09/09/1995,1,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,2,1,4
16/09/1995,1,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,1,1,5
23/09/1995,1,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,1,1,6
30/09/1995,1,Fantasy,Mariah Carey,,1,1
07/10/1995,1,Fantasy,Mariah Carey,1,1,2
14/10/1995,1,Fantasy,Mariah Carey,1,1,3
21/10/1995,1,Fantasy,Mariah Carey,1,1,4
28/10/1995,1,Fantasy,Mariah Carey,1,1,5
04/11/1995,1,Fantasy,Mariah Carey,1,1,6
11/11/1995,1,Fantasy,Mariah Carey,1,1,7
18/11/1995,1,Fantasy,Mariah Carey,1,1,8
25/11/1995,1,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,,1,1
02/12/1995,1,One Sweet Day,Mariah Carey & Boyz II Men,,1,1
09/12/1995,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,2
16/12/1995,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,3
23/12/1995,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,4
30/12/1995,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,5
06/01/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,6
13/01/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,7
20/01/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,8
27/01/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,9
03/02/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,10
10/02/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,11
17/02/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,12
24/02/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,13
02/03/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,14
09/03/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,15
16/03/1996,1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,16
23/03/1996,1,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,5,1,3
30/03/1996,1,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,1,1,4
06/04/1996,1,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,1,1,5
13/04/1996,1,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,1,1,6
20/04/1996,1,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,1,1,7
27/04/1996,1,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,1,1,8
04/05/1996,1,Always Be My Baby,Mariah Carey,2,1,5
11/05/1996,1,Always Be My Baby,Mariah Carey,1,1,6
18/05/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,2,1,2
25/05/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,1,1,3
01/06/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,1,1,4
08/06/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,1,1,5
15/06/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,1,1,6
22/06/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,1,1,7
29/06/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,1,1,8
06/07/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,1,1,9
13/07/1996,1,How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,3,1,5
20/07/1996,1,How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,1,1,6
27/07/1996,1,You're Makin' Me High/Let It Flow,Toni Braxton,2,1,8
03/08/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,4,1,33
10/08/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,34
17/08/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,35
24/08/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,36
31/08/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,37
07/09/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,38
14/09/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,39
21/09/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,40
28/09/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,41
05/10/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,42
12/10/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,43
19/10/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,44
26/10/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,45
02/11/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1,1,46
09/11/1996,1,No Diggity,BLACKstreet (Featuring Dr. Dre),3,1,5
16/11/1996,1,No Diggity,BLACKstreet (Featuring Dr. Dre),1,1,6
23/11/1996,1,No Diggity,BLACKstreet (Featuring Dr. Dre),1,1,7
30/11/1996,1,No Diggity,BLACKstreet (Featuring Dr. Dre),1,1,8
07/12/1996,1,Un-Break My Heart,Toni Braxton,2,1,7
14/12/1996,1,Un-Break My Heart,Toni Braxton,1,1,8
21/12/1996,1,Un-Break My Heart,Toni Braxton,1,1,9
28/12/1996,1,Un-Break My Heart,Toni Braxton,1,1,10
04/01/1997,1,Un-Break My Heart,Toni Braxton,1,1,11
11/01/1997,1,Un-Break My Heart,Toni Braxton,1,1,12
18/01/1997,1,Un-Break My Heart,Toni Braxton,1,1,13
25/01/1997,1,Un-Break My Heart,Toni Braxton,1,1,14
01/02/1997,1,Un-Break My Heart,Toni Braxton,1,1,15
08/02/1997,1,Un-Break My Heart,Toni Braxton,1,1,16
15/02/1997,1,Un-Break My Heart,Toni Braxton,1,1,17
22/02/1997,1,Wannabe,Spice Girls,2,1,5
01/03/1997,1,Wannabe,Spice Girls,1,1,6
08/03/1997,1,Wannabe,Spice Girls,1,1,7
15/03/1997,1,Wannabe,Spice Girls,1,1,8
22/03/1997,1,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),2,1,9
29/03/1997,1,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),1,1,10
05/04/1997,1,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),1,1,11
12/04/1997,1,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),1,1,12
19/04/1997,1,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),1,1,13
26/04/1997,1,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),1,1,14
03/05/1997,1,Hypnotize,The Notorious B.I.G.,2,1,2
10/05/1997,1,Hypnotize,The Notorious B.I.G.,1,1,3
17/05/1997,1,Hypnotize,The Notorious B.I.G.,1,1,4
24/05/1997,1,MMMBop,Hanson,2,1,4
31/05/1997,1,MMMBop,Hanson,1,1,5
07/06/1997,1,MMMBop,Hanson,1,1,6
14/06/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,,1,1
21/06/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,2
28/06/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,3
05/07/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,4
12/07/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,5
19/07/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,6
26/07/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,7
02/08/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,8
09/08/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,9
16/08/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,10
23/08/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,11
30/08/1997,1,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,2,1,5
06/09/1997,1,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,1,1,6
13/09/1997,1,Honey,Mariah Carey,,1,1
20/09/1997,1,Honey,Mariah Carey,1,1,2
27/09/1997,1,Honey,Mariah Carey,1,1,3
04/10/1997,1,4 Seasons Of Loneliness,Boyz II Men,2,1,2
11/10/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,1,1
18/10/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,2
25/10/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,3
01/11/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,4
08/11/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,5
15/11/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,6
22/11/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,7
29/11/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,8
06/12/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,9
13/12/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,10
20/12/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,11
27/12/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,12
03/01/1998,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,13
10/01/1998,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,14
17/01/1998,1,Truly Madly Deeply,Savage Garden,6,1,7
24/01/1998,1,Truly Madly Deeply,Savage Garden,1,1,8
31/01/1998,1,Together Again,Janet,3,1,7
07/02/1998,1,Together Again,Janet,1,1,8
14/02/1998,1,Nice & Slow,Usher,2,1,4
21/02/1998,1,Nice & Slow,Usher,1,1,5
28/02/1998,1,My Heart Will Go On,Celine Dion,,1,1
07/03/1998,1,My Heart Will Go On,Celine Dion,1,1,2
14/03/1998,1,Gettin' Jiggy Wit It,Will Smith,2,1,3
21/03/1998,1,Gettin' Jiggy Wit It,Will Smith,1,1,4
28/03/1998,1,Gettin' Jiggy Wit It,Will Smith,1,1,5
04/04/1998,1,All My Life,K-Ci & JoJo,15,1,2
11/04/1998,1,All My Life,K-Ci & JoJo,1,1,3
18/04/1998,1,All My Life,K-Ci & JoJo,1,1,4
25/04/1998,1,Too Close,Next,3,1,11
02/05/1998,1,Too Close,Next,1,1,12
09/05/1998,1,Too Close,Next,1,1,13
16/05/1998,1,Too Close,Next,1,1,14
23/05/1998,1,My All,Mariah Carey,2,1,3
30/05/1998,1,Too Close,Next,2,1,16
06/06/1998,1,The Boy Is Mine,Brandy & Monica,23,1,2
13/06/1998,1,The Boy Is Mine,Brandy & Monica,1,1,3
20/06/1998,1,The Boy Is Mine,Brandy & Monica,1,1,4
27/06/1998,1,The Boy Is Mine,Brandy & Monica,1,1,5
04/07/1998,1,The Boy Is Mine,Brandy & Monica,1,1,6
11/07/1998,1,The Boy Is Mine,Brandy & Monica,1,1,7
18/07/1998,1,The Boy Is Mine,Brandy & Monica,1,1,8
25/07/1998,1,The Boy Is Mine,Brandy & Monica,1,1,9
01/08/1998,1,The Boy Is Mine,Brandy & Monica,1,1,10
08/08/1998,1,The Boy Is Mine,Brandy & Monica,1,1,11
15/08/1998,1,The Boy Is Mine,Brandy & Monica,1,1,12
22/08/1998,1,The Boy Is Mine,Brandy & Monica,1,1,13
29/08/1998,1,The Boy Is Mine,Brandy & Monica,1,1,14
05/09/1998,1,I Don't Want To Miss A Thing,Aerosmith,,1,1
12/09/1998,1,I Don't Want To Miss A Thing,Aerosmith,1,1,2
19/09/1998,1,I Don't Want To Miss A Thing,Aerosmith,1,1,3
26/09/1998,1,I Don't Want To Miss A Thing,Aerosmith,1,1,4
03/10/1998,1,The First Night,Monica,2,1,8
10/10/1998,1,The First Night,Monica,1,1,9
17/10/1998,1,One Week,Barenaked Ladies,2,1,3
24/10/1998,1,The First Night,Monica,2,1,11
31/10/1998,1,The First Night,Monica,1,1,12
07/11/1998,1,The First Night,Monica,1,1,13
14/11/1998,1,Doo Wop (That Thing),Lauryn Hill,,1,1
21/11/1998,1,Doo Wop (That Thing),Lauryn Hill,1,1,2
28/11/1998,1,Lately,Divine,2,1,12
05/12/1998,1,I'm Your Angel,R. Kelly & Celine Dion,,1,1
12/12/1998,1,I'm Your Angel,R. Kelly & Celine Dion,1,1,2
19/12/1998,1,I'm Your Angel,R. Kelly & Celine Dion,1,1,3
26/12/1998,1,I'm Your Angel,R. Kelly & Celine Dion,1,1,4
02/01/1999,1,I'm Your Angel,R. Kelly & Celine Dion,1,1,5
09/01/1999,1,I'm Your Angel,R. Kelly & Celine Dion,1,1,6
16/01/1999,1,Have You Ever?,Brandy,3,1,7
23/01/1999,1,Have You Ever?,Brandy,1,1,8
